Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,
199,178,74,85,91,110,126,93,
2,0,2,3,0,0,1,1, 
7,2,4,3,2,0,3,2, 
7,2,5,17,2,0,3,3, 
20,2,5,21,2,0,3,3, 
37,2,5,21,2,0,3,3, 
45,3,6,23,2,1,5,4, 
47,9,7,24,3,3,7,6, 
49,13,9,25,4,3,9,11, 
52,17,11,26,6,3,11,13, 
55,20,12,29,7,4,15,14, 
56,21,14,30,11,6,19,16, 
56,24,15,31,13,8,24,18, 
64,24,16,30,14,8,25,20, 
68,31,16,30,13,8,28,21, 
71,39,17,30,13,9,29,23, 
74,44,19,30,16,9,31,25, 
77,48,19,31,17,10,33,30, 
78,52,22,31,18,12,34,34, 
80,55,24,34,18,13,37,37, 
80,60,25,36,21,15,39,39, 
84,62,26,37,23,15,44,40, 
88,65,26,38,23,17,47,44, 
92,70,26,38,24,19,51,45, 
96,72,28,39,27,19,54,46, 
97,73,34,41,28,20,53,47, 
100,74,34,42,30,21,57,48, 
101,76,35,42,29,25,63,50, 
104,77,35,43,30,28,65,56, 
108,83,36,43,32,29,67,57, 
111,89,37,44,32,31,69,58, 
113,93,41,45,33,33,72,58, 
115,95,42,48,35,34,78,58, 
117,97,42,49,37,37,81,61, 
122,98,44,49,38,40,85,62, 
129,102,45,51,38,41,86,63, 
133,106,47,52,39,42,89,63, 
135,107,49,54,40,45,91,63, 
136,108,49,56,42,49,92,66, 
138,110,50,59,42,52,95,66, 
142,113,50,60,43,56,97,68, 
146,115,52,61,43,59,100,70, 
150,118,52,61,47,61,102,71, 
152,122,54,61,49,64,105,72, 
157,124,57,63,50,67,106,72, 
161,127,57,66,52,68,109,72, 
163,132,57,67,53,73,109,75, 
166,133,58,69,55,77,111,77, 
171,134,59,70,56,82,111,79, 
173,139,60,72,57,84,111,79, 
175,146,62,72,59,85,112,78, 
178,147,64,74,59,89,112,80, 
179,148,66,74,66,92,115,80, 
180,150,66,76,71,94,118,82, 
182,154,67,77,73,96,118,86, 
188,160,67,77,76,97,119,86, 
190,168,68,77,78,99,120,87, 
192,169,72,81,78,101,122,88, 
193,172,72,83,84,105,123,88, 
194,176,73,84,87,108,125,90, 
199,178,74,85,89,109,126,93, 
198,177,74,85,91,110,125,93, 
198,177,74,84,91,109,125,92, 
198,177,73,83,90,109,125,92, 
198,177,73,82,89,109,125,92, 
198,177,73,81,89,109,125,92, 
198,177,73,80,89,109,125,92, 
198,177,73,79,89,109,125,92, 
198,177,73,78,89,109,125,92, 
198,177,73,77,89,109,125,92, 
198,177,73,76,89,109,125,92, 
198,177,73,75,89,109,125,92, 
198,177,73,74,89,109,125,92, 
197,176,73,73,89,109,124,92, 
197,176,73,72,89,108,124,91, 
197,176,72,71,89,108,124,90, 
197,176,72,70,88,108,124,90, 
197,176,72,69,88,108,124,90, 
197,176,72,68,88,108,124,90, 
197,176,72,68,88,108,124,90, 
197,176,72,68,88,108,124,90, 
197,176,72,68,88,108,124,90, 
197,176,72,68,88,108,124,90, 
197,176,72,68,88,108,124,90, 
197,176,72,68,88,108,124,90, 
196,175,72,68,88,108,123,90, 
196,174,72,68,88,107,123,90, 
196,174,71,68,88,107,123,89, 
196,174,71,68,87,107,123,89, 
196,174,71,68,87,107,123,89, 
196,174,71,67,87,107,123,89, 
196,174,71,67,87,107,123,89, 
196,174,71,67,87,107,123,89, 
196,174,71,67,87,107,123,89, 
196,174,71,67,87,107,123,89, 
196,174,71,67,87,107,123,89, 
196,174,71,67,87,107,123,89, 
195,174,71,67,87,107,122,89, 
195,173,71,67,87,106,122,89, 
195,173,70,67,87,106,122,88, 
195,173,70,67,86,106,122,88, 
195,173,70,67,86,106,122,88, 
195,173,70,66,86,106,122,88, 
195,173,70,66,86,106,122,88, 
195,173,70,66,86,106,122,88, 
195,173,70,66,86,106,122,88, 
195,173,70,66,86,106,122,88, 
195,173,70,66,86,106,122,88, 
195,173,70,66,86,106,122,88, 
194,173,70,66,86,106,121,88, 
193,172,70,66,86,105,121,88, 
192,172,69,66,86,105,121,87, 
191,172,69,66,85,105,121,87, 
190,172,69,66,85,105,121,87, 
189,172,69,65,85,105,121,87, 
188,172,69,64,85,105,121,87, 
187,172,69,64,85,105,121,87, 
186,172,69,64,85,105,121,87, 
185,172,69,64,85,105,121,87, 
184,172,69,64,85,105,121,87, 
183,172,69,64,85,105,121,87, 
182,172,69,64,85,105,120,87, 
181,171,69,64,85,104,119,87, 
180,171,68,64,85,104,119,86, 
179,171,68,64,84,104,119,86, 
178,171,68,64,84,104,119,86, 
177,171,68,64,84,104,119,86, 
176,171,68,63,84,104,119,86, 
175,171,68,63,84,104,119,86, 
174,171,68,63,84,104,119,86, 
173,171,68,63,84,104,119,86, 
172,171,68,63,84,104,119,86, 
171,171,68,63,84,104,119,86, 
170,171,68,63,84,104,119,86, 
169,170,68,63,84,103,118,86, 
168,170,67,63,84,103,118,85, 
167,170,67,63,83,103,118,85, 
166,170,67,63,83,103,118,85, 
165,170,67,63,83,103,118,85, 
164,170,67,62,83,103,118,85, 
163,170,67,62,83,103,118,85, 
162,170,67,62,83,103,118,85, 
161,170,67,62,83,103,118,85, 
160,170,67,62,83,103,118,85, 
159,170,67,62,83,103,118,85, 
159,170,67,62,83,103,118,85, 
159,169,67,62,83,102,117,85, 
159,169,66,62,83,102,117,84, 
159,169,66,62,82,102,117,84, 
159,169,66,62,82,102,117,84, 
159,169,66,62,82,102,117,84, 
159,169,66,61,82,102,117,84, 
159,169,66,60,82,102,117,84, 
159,169,66,60,82,102,117,84, 
159,169,66,60,82,102,117,84, 
159,169,66,60,82,102,117,84, 
158,169,66,60,82,102,117,84, 
158,169,66,60,82,102,117,84, 
158,168,66,60,82,101,116,84, 
158,168,65,60,82,101,116,83, 
158,168,65,60,81,101,116,83, 
158,168,65,60,81,101,116,83, 
158,168,65,60,81,101,116,83, 
158,168,65,60,81,101,116,83, 
158,168,65,59,81,101,116,83, 
158,168,65,59,81,101,116,83, 
158,168,65,59,81,101,116,83, 
158,168,65,59,81,101,116,83, 
157,168,65,59,81,101,116,83, 
157,168,65,59,81,101,116,83, 
157,167,65,59,81,100,115,83, 
157,167,64,59,81,100,115,82, 
157,167,64,59,80,100,115,82, 
157,167,64,59,80,100,115,82, 
157,167,64,59,80,100,115,82, 
157,167,64,59,80,100,115,82, 
157,167,64,58,80,100,115,82, 
157,167,64,58,80,100,115,82, 
157,167,64,58,80,100,115,82, 
157,167,64,58,80,100,115,82, 
156,167,64,58,80,100,115,82, 
156,167,64,58,80,100,115,82, 
156,166,64,58,80,99,114,82, 
156,166,63,58,80,99,114,81, 
156,166,63,58,79,99,114,81, 
156,166,63,58,79,99,114,81, 
156,166,63,58,79,99,114,81, 
156,166,63,58,79,99,114,81, 
156,166,63,57,79,99,114,81, 
156,166,63,57,79,99,114,81, 
156,166,63,57,79,99,114,81, 
156,166,63,57,79,99,114,81, 
155,166,63,57,79,99,114,81, 
155,166,63,57,79,99,114,81, 
155,165,63,57,79,98,113,81, 
155,165,62,57,79,98,113,80, 
155,165,62,57,78,98,113,80, 
155,165,62,57,78,98,113,80, 
155,165,62,57,78,98,113,80, 
155,165,62,57,78,98,113,80, 
155,165,62,56,78,98,113,80, 
155,165,62,56,78,98,113,80, 
155,165,62,56,78,98,113,80, 
155,165,62,56,78,98,113,80, 
154,165,62,56,78,98,113,80, 
153,165,62,56,78,98,113,80, 
153,164,62,56,78,97,112,80, 
153,164,61,56,78,97,112,79, 
153,164,61,56,77,97,112,78, 
153,164,61,56,77,97,112,78, 
153,164,61,56,77,97,112,78, 
153,164,61,56,77,97,112,78, 
153,164,61,55,77,97,112,78, 
153,164,61,55,77,97,112,78, 
153,164,61,55,77,97,112,78, 
153,164,61,55,77,97,112,78, 
153,164,61,55,77,97,112,78, 
152,164,61,55,77,97,112,78, 
152,163,61,55,77,96,111,78, 
152,163,60,55,77,95,111,78, 
152,163,60,55,76,95,111,77, 
152,163,60,55,76,95,111,77, 
152,163,60,55,76,95,111,77, 
152,163,60,55,76,95,111,77, 
152,163,60,54,76,95,111,77, 
152,163,60,53,76,95,111,77, 
152,163,60,53,76,95,111,77, 
152,163,60,53,76,95,111,77, 
152,163,60,53,76,95,111,77, 
151,163,60,53,76,95,111,77, 
151,162,60,53,76,95,110,77, 
151,162,59,53,76,94,110,77, 
151,162,59,53,75,93,110,76, 
151,162,59,53,75,93,110,76, 
151,162,59,53,75,93,110,76, 
151,162,59,53,75,93,110,76, 
151,162,59,53,75,93,110,76, 
151,162,59,52,75,93,110,76, 
151,162,59,52,75,93,110,76, 
151,162,59,52,75,93,110,76, 
151,162,59,52,75,93,110,76, 
150,162,59,52,75,93,110,76, 
150,161,59,52,75,93,109,76, 
150,161,58,52,75,93,109,76, 
150,161,58,52,74,92,109,75, 
150,161,58,52,74,92,109,75, 
150,161,58,52,74,92,109,75, 
150,161,58,52,74,92,109,75, 
150,161,58,52,74,92,109,75, 
150,161,58,51,74,92,109,75, 
150,161,58,50,74,92,109,75, 
150,161,58,50,74,92,109,75, 
150,161,58,50,74,92,109,75, 
149,161,58,50,74,92,109,75, 
149,160,58,50,74,92,108,75, 
149,159,57,50,74,92,108,75, 
149,159,57,50,73,91,108,74, 
149,159,57,50,73,91,108,74, 
149,159,57,50,73,91,108,74, 
149,159,57,50,73,91,108,74, 
149,159,57,50,73,91,108,74, 
149,159,57,50,73,91,108,74, 
149,159,57,49,73,91,108,74, 
149,159,57,49,73,91,108,74, 
149,159,57,49,73,91,108,74, 
148,159,57,49,73,91,108,74, 
148,159,57,49,73,91,107,74, 
148,158,56,49,73,91,107,74, 
148,158,56,49,72,90,107,73, 
148,158,56,49,72,90,107,73, 
148,158,56,49,72,90,107,73, 
148,158,56,49,72,90,107,73, 
148,158,56,49,72,90,107,73, 
148,158,56,49,72,90,107,73, 
148,158,56,48,72,90,107,73, 
148,158,56,48,72,90,107,73, 
148,158,56,48,72,90,107,73, 
147,158,56,48,72,90,107,73, 
147,158,56,48,72,90,106,73, 
147,157,55,48,72,90,106,73, 
147,157,55,48,71,89,106,72, 
147,157,55,48,71,89,106,72, 
147,157,55,48,71,89,106,72, 
147,157,55,48,71,89,106,72, 
147,157,55,48,71,89,106,72, 
147,157,55,48,71,89,106,72, 
147,157,55,47,71,89,106,72, 
147,157,55,47,71,89,106,72, 
147,157,55,47,71,89,106,72, 
146,157,55,47,71,89,106,72, 
146,157,55,47,71,89,105,72, 
146,156,54,47,71,89,105,72, 
146,156,54,47,70,88,105,71, 
146,156,54,47,69,88,105,71, 
146,156,54,47,69,88,105,71, 
146,156,54,47,69,88,105,71, 
146,156,54,47,69,88,105,71, 
146,156,54,47,69,88,105,71, 
146,156,54,46,69,88,105,71, 
146,156,54,46,69,88,105,71, 
146,156,54,46,69,88,105,71, 
145,156,54,46,69,88,105,71, 
144,156,54,46,69,88,104,71, 
144,155,53,46,69,88,104,71, 
144,155,53,46,69,87,104,70, 
144,155,53,46,68,87,104,70, 
144,155,53,46,68,87,104,70, 
144,155,53,46,68,87,104,70, 
144,155,53,46,68,87,104,70, 
144,155,53,46,68,87,104,70, 
144,155,53,45,68,87,104,70, 
144,155,53,45,68,87,104,70, 
144,155,53,45,68,87,104,70, 
144,155,53,45,68,87,104,70, 
143,155,53,45,68,87,103,70, 
143,154,52,45,68,87,103,70, 
143,154,52,45,68,86,103,69, 
143,154,52,45,67,86,103,69, 
143,154,52,45,67,86,103,69, 
143,154,52,45,67,86,103,69, 
143,154,52,45,67,86,103,69, 
143,154,52,45,67,86,103,69, 
143,154,52,44,67,86,103,69, 
143,154,52,44,67,86,103,69, 
143,154,52,44,67,86,103,69, 
143,154,52,44,67,86,103,69, 
142,154,52,44,67,86,102,69, 
142,153,51,44,67,86,102,69, 
142,153,51,44,67,85,102,68, 
142,153,51,44,66,84,102,68, 
142,153,51,44,66,84,102,68, 
142,153,51,44,66,84,102,68, 
142,153,51,44,66,84,102,68, 
142,153,51,44,66,84,102,68, 
